Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
0.09,-0.27,1,-2.17,-1.54,-0.84
0.09,-0.28,1,-2.03,-2.1,-0.91
0.08,-0.28,1,-1.05,-1.89,-1.19
0.09,-0.27,1.01,-0.7,-2.52,-1.26
0.09,-0.27,1.01,-0.28,-3.15,-0.98
0.09,-0.28,1.01,0.56,-3.99,-0.91
0.09,-0.28,1.01,1.26,-4.9,-1.05
0.08,-0.28,1,3.08,-5.04,-0.49
0.08,-0.28,0.99,3.15,-4.76,0
0.1,-0.27,0.99,2.03,-3.57,0
0.09,-0.27,0.98,0.42,-2.1,-0.21
0.09,-0.28,0.98,-0.91,-1.54,-0.07
0.08,-0.28,0.98,-0.98,-1.47,0.28
0.09,-0.28,0.98,-1.75,-1.61,-0.21
0.1,-0.28,0.99,-2.87,-1.68,-1.26
0.1,-0.27,1.01,-2.94,-2.31,-2.1
0.09,-0.28,1.02,-2.1,-2.87,-3.36
0.08,-0.28,1.02,1.33,-4.13,-2.73
0.07,-0.27,1.01,3.85,-5.74,-1.4
0.07,-0.27,1,4.06,-5.81,0.28
0.08,-0.27,0.98,2.8,-4.76,1.26
0.09,-0.29,0.98,0.49,-3.57,1.75
0.1,-0.28,0.98,-0.63,-2.66,0.49
0.1,-0.28,0.99,-1.82,-1.26,-0.63
0.09,-0.28,0.99,-2.24,-1.33,-1.12
0.07,-0.27,1,-1.89,-1.89,-0.56
0.08,-0.27,1,-1.75,-2.1,-0.7
0.09,-0.27,1.01,-1.19,-2.94,-0.84
0.09,-0.29,1,0.49,-3.71,-1.05
0.07,-0.29,0.99,1.96,-4.41,-1.12
0.08,-0.29,0.98,1.96,-4.83,-1.33
0.09,-0.28,0.97,0.7,-3.85,-2.03
0.09,-0.29,0.97,0.42,-1.68,-2.24
0.08,-0.28,0.97,-0.49,-0.35,-2.1
0.09,-0.28,0.98,-3.36,0.7,-1.54
0.09,-0.28,0.99,-4.27,0.84,-0.98
0.09,-0.28,1.01,-3.71,0.49,-1.26
0.09,-0.29,1.01,-0.63,-0.07,-1.54
0.09,-0.28,1.02,1.12,-0.7,-2.1
0.09,-0.27,1.01,1.4,-2.31,-1.75
0.09,-0.27,1.01,0.49,-3.08,-1.05
0.09,-0.28,1,-0.77,-4.06,-0.77
0.09,-0.28,1,-0.56,-4.2,-0.98
0.09,-0.29,1,1.19,-4.48,-1.26
0.09,-0.28,0.99,1.26,-4.34,-1.96
0.09,-0.28,0.99,1.68,-3.5,-2.31
0.09,-0.28,0.98,1.96,-2.31,-1.54
0.09,-0.27,0.98,-0.77,-2.17,-0.63
0.09,-0.28,0.98,-2.38,-1.96,0.21
0.09,-0.29,0.98,-2.1,-1.47,0.14
0.09,-0.29,0.99,-1.33,-0.91,-0.7
0.1,-0.29,1,-0.91,-1.12,-2.45
0.11,-0.28,1,-1.12,-1.89,-3.15
0.1,-0.28,1.01,-0.63,-2.45,-3.64
0.08,-0.27,1.01,0.98,-3.36,-3.29
0.08,-0.27,1.01,2.1,-4.13,-2.38
0.08,-0.27,1,2.59,-4.2,-1.54
0.09,-0.26,0.99,2.17,-3.29,-0.91
0.09,-0.27,0.98,1.33,-2.66,0.56
0.09,-0.26,0.98,0.14,-1.12,1.26
0.09,-0.28,0.97,-1.05,-0.42,2.1
0.09,-0.28,0.98,-2.17,0.56,1.47
0.1,-0.29,0.98,-2.94,0.63,1.19
0.1,-0.29,1,-3.92,0.21,-0.28
0.1,-0.29,1.01,-3.5,-0.77,-1.96
0.09,-0.29,1.02,-1.89,-2.38,-3.22
0.09,-0.29,1.02,0.63,-3.92,-3.92
0.08,-0.28,1.01,3.43,-4.34,-3.99
0.08,-0.27,1,4.76,-4.76,-3.22
0.08,-0.27,0.98,3.85,-4.41,-1.68
0.09,-0.27,0.97,1.61,-3.5,-0.35
0.09,-0.27,0.96,-0.7,-1.82,0.49
0.1,-0.28,0.97,-2.17,17.78,0.28
0.1,-0.28,0.98,-2.87,1.4,0.07
0.1,-0.28,1,-3.64,1.26,-0.42
0.09,-0.28,1,-3.01,0.28,-0.84
0.09,-0.28,1.01,-1.75,-0.91,-0.98
0.09,-0.28,1.01,-0.56,-2.03,-0.63
0.08,-0.28,1,0.63,-3.15,-0.77
0.08,-0.29,1,1.68,-3.36,-0.63
0.09,-0.28,0.99,1.68,-2.94,-0.63
0.1,-0.28,0.99,-0.56,-2.31,-1.05
0.1,-0.29,0.99,-0.98,-1.61,-1.33
0.09,-0.28,1,-0.35,-1.61,-1.12
0.09,-0.28,1,-0.63,-1.89,-1.05
0.08,-0.28,1,-0.63,-1.89,-0.77
0.09,-0.28,1,0,-1.96,-0.63
0.09,-0.28,1,-0.21,-2.1,-0.84
0.09,-0.28,1,-0.56,-2.45,-0.7
0.08,-0.28,1,-0.56,-2.8,-0.77
0.09,-0.29,1,0.07,-3.29,-0.77
0.09,-0.29,0.99,0.56,-3.29,-1.05
