Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.22,-0.04,0.21,-38.01,3.99,-54.53
-1.06,-0.05,0.16,-29.19,37.17,-73.36
-1.05,-0.05,0.08,-27.58,68.04,-84.35
-1.23,-0.2,-0.01,4.06,89.88,-70
-0.94,-0.61,-0.1,66.57,94.08,-15.54
-0.38,-0.79,-0.39,108.22,54.11,12.95
0.03,-1.14,-0.49,132.86,48.86,-11.97
0,-1.5,-0.45,165.9,123.06,-64.61
-0.46,-1.47,-0.43,126.91,124.6,-75.95
-1.14,-1.18,-0.32,45.5,66.57,-45.64
-1.32,-0.71,-0.11,6.65,23.03,-32.27
-1.23,-0.41,0.1,-10.99,19.74,-25.83
-1.4,-0.04,-0.08,3.99,27.93,-35.21
-1.42,-0.1,-0.07,4.83,37.45,-31.92
-1.25,0,-0.14,3.15,65.66,-33.88
-1.12,0.09,-0.27,19.81,63,-48.23
-0.97,0.19,-0.33,41.51,61.6,-63.77
-0.88,0.07,-0.47,54.88,56.49,-70.7
-0.88,-0.05,-0.48,67.76,49.77,-74.06
-0.96,-0.26,-0.48,75.25,36.4,-76.16
-1,-0.41,-0.37,65.24,22.89,-76.02
-0.97,-0.44,-0.22,49.14,13.51,-73.5
-0.96,-0.47,-0.11,37.59,10.43,-72.03
-0.96,-0.33,-0.01,43.75,8.68,-70.63
-0.98,-0.22,0.01,48.37,12.46,-71.75
-1,-0.13,-0.05,48.02,14.42,-72.8
-1,-0.12,-0.1,51.8,20.44,-72.59
-1,-0.1,-0.11,48.3,22.19,-74.34
-1,-0.09,-0.1,41.44,19.46,-75.53
-0.99,-0.1,-0.11,32.69,14.7,-75.46
-0.95,-0.1,-0.09,25.62,12.53,-74.27
-0.93,-0.09,-0.09,18.62,11.97,-73.01
-0.91,-0.08,-0.08,10.85,11.06,-70
-0.89,-0.15,-0.11,4.83,11.83,-67.69
-0.9,-0.21,-0.11,4.97,18.06,-66.71
-0.95,-0.24,-0.12,1.96,20.93,-64.96
-0.94,-0.28,-0.1,1.12,22.68,-64.19
-0.94,-0.29,-0.11,0.91,20.72,-63.28
-0.93,-0.27,-0.08,6.93,20.58,-62.37
-0.92,-0.23,-0.09,9.31,17.01,-60.27
-0.9,-0.18,-0.09,7,13.23,-57.82
-0.88,-0.14,-0.1,5.81,9.94,-54.46
-0.91,-0.09,-0.08,1.68,8.61,-52.36
-0.95,-0.09,-0.06,1.47,8.12,-50.68
-1.01,-0.13,-0.06,5.67,10.15,-49.49
-1.05,-0.18,-0.08,10.5,13.23,-47.74
-1.09,-0.18,-0.1,13.37,14.56,-43.61
-1.15,-0.17,-0.11,17.85,15.12,-39.83
-1.18,-0.14,-0.06,29.4,14.63,-36.4
-1.18,-0.09,-0.01,46.06,11.55,-32.27
-1.17,-0.06,0.02,55.23,5.81,-25.83
